POSITION,NAME,TOUCHDOWNS,INTERCEPTIONSTHROWN,YARDS,CARRIES,RECEPTIONS
RB,Murray.DeMarco,6,0,702,193,0
RB,Murray.Latavius,6,0,1,066,266,0
RB,Nix-Jones.Roosevelt,0,0,0,0,0
RB,O'Neal.Cedric,0,0,0,0,0
RB,Olawale.Jamize,1,0,110,24,0
RB,Oliver.Branden,0,0,108,31,0
RB,Pead.Isaiah,0,0,3,2,0
RB,Peerman.Cedric,0,0,0,0,0
RB,Penny.Elijhaa,0,0,0,0,0
RB,Perkins.Paul,0,0,0,0,0
RB,Perry.Senorise,0,0,0,0,0
RB,Peterson.Adrian,11,0,1,485,327,0
RB,Pierce.Bernard,0,0,11,6,0
RB,Powell.Bilal,1,0,313,70,0
RB,Pressley.Jhurrell,0,0,0,0,0
RB,Prosch.Jay,0,0,33,6,0
RB,Prosise.C.J.,0,0,0,0,0
RB,Rainey.Bobby,0,0,18,5,0
RB,Ratelle.Will,0,0,0,0,0
RB,Rawls.Thomas,4,0,830,147,0
RB,Reaves.Darrin,0,0,0,0,0
RB,Redd.Silas,0,0,0,0,0
RB,Reece.Marcel,0,0,36,10,0
RB,Renaud.Blake,0,0,0,0,0
RB,Reynolds.Chase,0,0,0,0,0
RB,Richard.Jalen,0,0,0,0,0
RB,Richardson.Daryl,0,0,0,0,0
RB,Richardson.Trent,0,0,0,0,0
RB,Riddick.Theo,0,0,133,43,0
RB,Ridley.Stevan,0,0,90,36,0
RB,Ripkowski.Aaron,0,0,0,0,0
RB,Robinson.Denard,1,0,266,67,0
RB,Robinson.Khiry,4,0,180,56,0
RB,Rodgers.Jacquizz,0,0,41,14,0
RB,Ross.Brandon,0,0,0,0,0
RB,Sankey.Bishop,1,0,193,47,0
RB,Sherman.Anthony,0,0,0,1,0
RB,Simmons.Jalen,0,0,0,0,0
RB,Sims.Charles,0,0,529,107,0
RB,Skov.Patrick,0,0,0,0,0
RB,Smallwood.Wendell,0,0,0,0,0
RB,Smith.Keith,0,0,0,0,0
RB,Smith.Dreamius,0,0,0,0,0
RB,Smith.Rod,0,0,5,2,0
RB,Spiller.C.J.,0,0,112,36,0
RB,Sproles.Darren,3,0,317,83,0
RB,Squirewell.Alstevis,0,0,0,0,0
RB,Starks.James,2,0,601,148,0
RB,Stewart.Jonathan,6,0,989,242,0
RB,Stingily.Cameron,0,0,0,0,0
RB,Swain.Chris,0,0,0,0,0
RB,Taliaferro.Lorenzo,1,0,47,13,0
RB,Taylor.Kelvin,0,0,0,0,0
RB,Taylor.Stepfan,0,0,58,17,0
RB,Thomas.Daniel,0,0,0,0,0
RB,Thompson.Chris,0,0,216,35,0
RB,Thompson.Juwan,0,0,48,18,0
RB,Todman.Jordan,0,0,22,4,0
RB,Tolbert.Mike,1,0,256,62,0
RB,Toure.Abou,0,0,0,0,0
RB,Toussaint.Fitzgerald,0,0,42,18,0
RB,Tupou.Taani,0,0,0,0,0
RB,Turbin.Robert,1,0,199,50,0
RB,Vainuku.Soma,0,0,0,0,0
RB,Vereen.Shane,0,0,260,61,0
RB,Ward.Terron,1,0,95,29,0
RB,Ware.Spencer,6,0,403,72,0
RB,Washington.DeAndre,0,0,0,0,0
RB,Washington.Dwayne,0,0,0,0,0
RB,Watson.Terrell,0,0,0,0,0
RB,Watt.Derek,0,0,0,0,0
RB,Wegher.Brandon,0,0,0,0,0
RB,West.Charcandrick,4,0,634,160,0
RB,West.Terrance,0,0,231,62,0
RB,White.James,2,0,56,22,0
RB,Whitlock.Nikita,0,0,0,0,0
RB,Whittaker.Fozzy,1,0,108,25,0
RB,Wilder.JamesJr.,0,0,0,0,0
RB,Wilds.Brandon,0,0,0,0,0
RB,Williams.Andre,1,0,257,88,0
RB,Williams.Damien,0,0,59,16,0
RB,Williams.DeAngelo,11,0,907,200,0
RB,Williams.Dominique,0,0,0,0,0
RB,Williams.Jonathan,0,0,0,0,0
RB,Williams.Karlos,7,0,517,93,0
RB,Williams.Kerwynn,1,0,142,27,0
RB,Williams.Trey,0,0,12,2,0
RB,Winn.George,0,0,1,4,0
RB,Winston.Glenn,0,0,-8,1,0
RB,Woodhead.Danny,3,0,336,98,0
RB,Yeldon.T.J.,2,0,740,182,0
RB,Young.Kelsey,0,0,0,0,0
RB,Zenner.Zach,0,0,60,17,0
WR,Abbrederis.Jared,0,0,111,0,9
WR,Adams.Davante,1,0,483,0,50
WR,Addison.Bralon,0,0,0,0,0
WR,Agholor.Nelson,1,0,283,0,23
WR,Aiken.Kamar,5,0,944,0,75
WR,Alford.Mario,0,0,15,0,1
WR,Allen.Davonte,0,0,0,0,0
WR,Allen.Keenan,4,0,725,0,67
WR,Allen.Torrence,0,0,0,0,0
WR,Allison.Geronimo,0,0,0,0,0
WR,Amendola.Danny,3,0,648,0,65
WR,Anderson.Dres,0,0,0,0,0
WR,Anderson.Robby,0,0,0,0,0
WR,Anthrop.Danny,0,0,0,0,0
WR,Austin.Tavon,5,0,473,0,52
WR,Ayers.DeMarcus,0,0,0,0,0
WR,Bailey.Rasheed,0,0,0,0,0
WR,Bailey.Stedman,1,0,182,0,12
WR,Baldwin.Doug,14,0,1,069,0,78
WR,Beasley.Cole,5,0,536,0,52
WR,Beckham.Odell,13,0,1,450,0,96
WR,Bell.Kenny,0,0,0,0,0
WR,Bell.Reggie,0,0,0,0,0
WR,Bellamy.Josh,2,0,224,0,19
WR,Benjamin.Kelvin,0,0,0,0,0
WR,Benjamin.Travis,5,0,966,0,68
WR,Benn.Arrelious,0,0,0,0,0
WR,Bennett.Michael,0,0,0,0,0
WR,Bersin.Brenton,0,0,119,0,9
WR,Billingsley.Jace,0,0,0,0,0
WR,Binford.Harvey,0,0,0,0,0
WR,Blackmon.Justin,0,0,0,0,0
WR,Blakeney.Issac,0,0,0,0,0
WR,Boehringer.Moritz,0,0,0,0,0
WR,Boldin.Anquan,4,0,789,0,69
WR,Boone.Kadron,0,0,0,0,0
WR,Boyce.Josh,0,0,0,0,0
WR,Boyd.Tyler,0,0,0,0,0
WR,Boykin.Jarrett,0,0,0,0,0
WR,Braverman.Daniel,0,0,0,0,0
WR,Bray.Quan,0,0,0,0,0
WR,Brent.K.J.,0,0,0,0,0
WR,Britt.Kenny,3,0,681,0,36
WR,Brown.Antonio,10,0,1,834,0,136
WR,Brown.Chris,0,0,0,0,0
WR,Brown.Corey,4,0,447,0,31
WR,Brown.Da'Ron,0,0,0,0,0
WR,Brown.Jaron,1,0,144,0,11
WR,Brown.John,7,0,1,003,0,65
WR,Brown.Marlon,0,0,112,0,14
WR,Bryant.Dez,3,0,401,0,31
WR,Bryant.Martavis,6,0,765,0,50
WR,Bundrage.Quenton,0,0,0,0,0
WR,Bundy.Marquis,0,0,0,0,0
WR,Burbridge.Aaron,0,0,0,0,0
WR,Burse.Isaiah,0,0,0,0,0
WR,Butler.Brice,0,0,258,0,12
WR,Butler.Jeremy,0,0,363,0,31
WR,Byrd.Damiere,0,0,0,0,0
WR,Byrd.LaRon,0,0,0,0,0
WR,Cajuste.Devon,0,0,0,0,0
WR,Caldwell.Andre,2,0,72,0,10
WR,Campanaro.Michael,0,0,35,0,5
WR,Campbell.DiAndre,0,0,0,0,0
WR,Capers.Avius,0,0,0,0,0
WR,Carlisle.Amir,0,0,0,0,0
WR,Carroo.Leonte,0,0,0,0,0
WR,Carter.DeAndre,0,0,0,0,0
WR,Chambers.Gary,0,0,0,0,0
WR,Clay.Kaelin,0,0,0,0,0
WR,Coates.Sammie,0,0,11,0,1
WR,Cobb.Randall,6,0,829,0,79
WR,Coleman.Brandon,2,0,454,0,30
WR,Coleman.Corey,0,0,0,0,0
WR,Collins.Dobson,0,0,0,0,0
WR,Conley.Chris,1,0,199,0,17
WR,Cook.Kenny,0,0,0,0,0
WR,Cooks.Brandin,9,0,1,138,0,84
WR,Cooper.Amari,6,0,1,070,0,72
WR,Cooper.Pharoh,0,0,0,0,0
WR,Core.Cody,0,0,0,0,0
WR,Crabtree.Michael,9,0,922,0,85
WR,Crowder.Jamison,2,0,604,0,59
WR,Cruz.A.J.,0,0,0,0,0
WR,Cruz.Victor,0,0,0,0,0
WR,Dable.Anthony,0,0,0,0,0
WR,Dangerfield.Jared,0,0,0,0,0
WR,Daniels.B.J.,0,0,18,0,2
WR,Davis.Andre,0,0,0,0,0
WR,Davis.Geremy,0,0,21,0,2
WR,Davis.Quinshad,0,0,0,0,0
WR,Davis.Titus,0,0,0,0,0
WR,Davis.Trevor,0,0,0,0,0
WR,Decker.Eric,12,0,1,027,0,80
WR,Diggs.Reggie,0,0,0,0,0
WR,Diggs.Stefon,4,0,720,0,52
WR,Dobson.Aaron,0,0,141,0,13
WR,Doctson.Josh,0,0,0,0,0
